date,open
2015/9/4,40.4
2015/9/8,41.28
2015/9/9,41.15
2015/9/10,41.39
2015/9/11,41.22
2015/9/14,42.17
2015/9/15,42.36
2015/9/16,42.4
2015/9/17,43.11
2015/9/18,43.43
2015/9/21,43.72
2015/9/22,42.77
2015/9/23,41.32
2015/9/24,41.15
2015/9/25,40.93
2015/9/28,39.87
2015/9/29,39.05
2015/9/30,39.18
2015/10/1,38.5
2015/10/2,38.75
2015/10/5,38.9
2015/10/6,39.95
2015/10/7,38.41
2015/10/8,39.21
2015/10/9,40.27
2015/10/12,42.59
2015/10/13,42.7
2015/10/14,44
2015/10/15,44.1
2015/10/16,43.95
2015/10/19,43.83
2015/10/20,44.54
2015/10/21,44.49
2015/10/22,44.89
2015/10/23,46.37
2015/10/26,45.36
2015/10/27,46.41
2015/10/28,46.2
2015/10/29,45.63
2015/10/30,45.77
2015/11/2,46.2
2015/11/3,47.02
2015/11/4,46.42
2015/11/5,45.7
2015/11/6,45.51
2015/11/9,45.17
2015/11/10,44.66
2015/11/11,44.76
2015/11/12,44.29
2015/11/13,43.67
2015/11/16,42.41
2015/11/17,43
2015/11/18,42.32
2015/11/19,41.94
2015/11/20,42.4
2015/11/23,42.11
2015/11/24,41.02
2015/11/25,41.35
2015/11/27,41.38
2015/11/30,41.75
2015/12/1,41.47
2015/12/2,44.09
2015/12/3,43.65
2015/12/4,43.82
2015/12/7,45.35
2015/12/8,45.1
2015/12/9,44.3
2015/12/10,43.79
2015/12/11,43.28
2015/12/14,42.26
2015/12/15,41.97
2015/12/16,42.99
2015/12/17,43.33
2015/12/18,41.61
2015/12/21,41.35
2015/12/22,42.56
2015/12/23,42.78
2015/12/24,43.27
2015/12/28,43.62
2015/12/29,43.25
2015/12/30,43.64
2015/12/31,42.54
2016/1/4,41.29
2016/1/5,41.18
2016/1/6,40.05
2016/1/7,40.97
2016/1/8,40.94
2016/1/11,40.56
2016/1/12,41.15
2016/1/13,42.17
2016/1/14,40.21
2016/1/15,39.04
2016/1/19,39.59
2016/1/20,38.53
2016/1/21,38.93
2016/1/22,40
2016/1/25,40.02
2016/1/26,38.73
2016/1/27,40.15
2016/1/28,39.61
2016/1/29,37.52
2016/2/1,39
2016/2/2,38.83
2016/2/3,37.38
2016/2/4,37.34
2016/2/5,37.71
2016/2/8,36.08
2016/2/9,34.93
2016/2/10,36.57
2016/2/11,36.47
2016/2/12,36.92
2016/2/16,38.13
2016/2/17,38.95
2016/2/18,39.36
2016/2/19,39.16
2016/2/22,40.14
2016/2/23,40.56
2016/2/24,40.02
2016/2/25,40.76
2016/2/26,41.5
2016/2/29,40.77
2016/3/1,41.44
2016/3/2,41.47
2016/3/3,41.52
2016/3/4,42.17
2016/3/7,41.31
2016/3/8,41.3
2016/3/9,40.74
2016/3/10,42.11
2016/3/11,41.89
2016/3/14,42.31
2016/3/15,42.3
2016/3/16,41.81
2016/3/17,42.31
2016/3/18,42.31
2016/3/21,43.32
2016/3/22,42
2016/3/23,42.8
2016/3/24,41.88
2016/3/28,41
2016/3/29,40.9
2016/3/30,41.75
2016/3/31,41.5
2016/4/1,40.13
2016/4/4,39.81
2016/4/5,39.13
2016/4/6,39.07
2016/4/7,38.66
2016/4/8,38.7
2016/4/11,38.79
2016/4/12,38.82
2016/4/13,39.3
2016/4/14,40.34
2016/4/15,41.3
2016/4/18,41.18
2016/4/19,40.99
2016/4/20,41.36
2016/4/21,40.8
2016/4/22,37.68
2016/4/25,38.16
2016/4/26,37.27
2016/4/27,36.79
2016/4/28,37.04
2016/4/29,35.81
2016/5/2,34.99
2016/5/3,34.76
2016/5/4,34.17
2016/5/5,33.28
2016/5/6,32.67
2016/5/9,33.03
2016/5/10,33.24
2016/5/11,33.68
2016/5/12,33.01
2016/5/13,31.09
2016/5/16,31.81
2016/5/17,32.25
2016/5/18,32.61
2016/5/19,32.28
2016/5/20,32.3
2016/5/23,32.03
2016/5/24,31.89
2016/5/25,32.39
2016/5/26,32.13
2016/5/27,31.6
2016/5/31,31.75
2016/6/1,31.94
2016/6/2,31.67
2016/6/3,31.59
2016/6/6,30.77
2016/6/7,31.46
2016/6/8,32.63
2016/6/9,32.25
2016/6/10,32.8
2016/6/13,32.99
2016/6/14,31.81
2016/6/15,30.65
2016/6/16,29.8
2016/6/17,29.1
2016/6/20,29.75
2016/6/21,30.29
2016/6/22,30.05
2016/6/23,30.25
2016/6/24,28.2
2016/6/27,26.85
2016/6/28,26.12
2016/6/29,26.94
2016/6/30,27.86
2016/7/1,28.26
2016/7/5,29.09
2016/7/6,27.76
2016/7/7,28.39
2016/7/8,29.8
2016/7/11,30.23
2016/7/12,32.78
2016/7/13,35
2016/7/14,35.11
2016/7/15,35.51
2016/7/18,36.03
2016/7/19,35.78
2016/7/20,36.07
2016/7/21,35.1
2016/7/22,36.45
2016/7/25,36.35
2016/7/26,35.91
2016/7/27,36.5
2016/7/28,36.07
2016/7/29,36.26
2016/8/1,35.54
2016/8/2,35.39
2016/8/3,33.47
2016/8/4,33.57
2016/8/5,33.71
2016/8/8,34.22
2016/8/9,35.21
2016/8/10,34.59
2016/8/11,34.25
2016/8/12,34.74
2016/8/15,34.96
2016/8/16,35.67
2016/8/17,36.68
2016/8/18,36.43
2016/8/19,36.44
2016/8/22,36.33
2016/8/23,36.32
2016/8/24,36.27
2016/8/25,36.34
2016/8/26,36.68
2016/8/29,36.13
2016/8/30,35.45
2016/8/31,36.97
2016/9/1,36.53
2016/9/2,36
2016/9/6,36.45
2016/9/7,37.5
2016/9/8,38.68
2016/9/9,39
2016/9/12,37.22
2016/9/13,38.12
2016/9/14,37
2016/9/15,36.31
2016/9/16,36.26
2016/9/19,35.66
2016/9/20,35.75
2016/9/21,35
2016/9/22,34.96
2016/9/23,35.3
2016/9/26,35.19
2016/9/27,34.98
2016/9/28,36.1
2016/9/29,35.65
2016/9/30,35.98
2016/10/3,36.46
2016/10/4,38.39
2016/10/5,37.82
2016/10/6,37.83
2016/10/7,38.25
2016/10/10,37.95
2016/10/11,39.99
2016/10/12,38.12
2016/10/13,36.95
2016/10/14,39.45
2016/10/17,38.66
2016/10/18,38.84
2016/10/19,39.48
2016/10/20,40.93
2016/10/21,39.97
2016/10/24,40.25
2016/10/25,39.66
2016/10/26,38.57
2016/10/27,39.45
2016/10/28,39.85
2016/10/31,40.31
2016/11/1,40.51
2016/11/2,39.72
2016/11/3,39.78
2016/11/4,39.27
2016/11/7,40.39
